id,name,status,status_date,expiration_date,incorporation_date,state_formed,industry,street_1,street_2,city,state,zip,coordinates,address_date,agent_name,agent_street_1,agent_street_2,agent_city,agent_state,agent_zip,agent_date,agent_status,agent_court_locality
S476547,"1996 Holdings LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-23,VIRGINIA,GENERAL,"4820 Southpoint Drive",,Fredericksburg,VA,22407,"38.229253493078,-77.502638291789",,"ERIC WATKINS","4820 SOUTHPOINT DRIVE",,FREDERICKSBURG,VA,22407,2013-10-23,1,"SPOTSYLVANIA COUNTY"
S476555,"Clark Construction and Renovation, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"89 Summer Set Rd",,Independence,VA,24348,"36.677682260689,-81.036392676741",,"STEVEN DUPREE CLARK","89 SUMMER SET RD",,INDEPENDENCE,VA,24348,2013-10-23,1,"GRAYSON COUNTY"
S476560,"SHRI KRISHNA PROPERTIES LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"22827 OAK GROVE RD",,STERLING,VA,20166,"38.985198343517,-77.406523488254",,"UMESH JAGTIANI","22827 OAK GROVE RD",,STERLING,VA,20166,2013-10-23,1,"LOUDOUN COUNTY"
S476577,"Three Cord Property Management L.L.C.","CANC(VOLUNTARY) (LLC/LP/BT)",2015-05-26,,2013-10-23,VIRGINIA,GENERAL,"10912 Oak Arbor Ter",,Chester,VA,23831,"37.367497942044,-77.485224346702",,"KISHA CECELIA SMITH","10912 OAK ARBOR TER",,CHESTER,VA,23831,2013-10-23,1,"CHESTERFIELD COUNTY"
S476585,"Sal's LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-23,VIRGINIA,GENERAL,"989 Kempsville Road","Unit 5","Virginia Beach",VA,23464,"36.811841198078,-76.16628487248",,"AMINE ZAROK","989 KEMPSVILLE ROAD","UNIT 5","VIRGINIA BEACH",VA,23464,2013-10-23,1,"VIRGINIA BEACH CITY"
S476589,"CHERNAULT PROPERTIES, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"2030 East Main Street",,Salem,VA,24153,"37.298693710286,-80.020390627124",,"C. ROBERT CHERNAULT","2030 EAST MAIN STREET",,SALEM,VA,24153,2013-10-23,1,"SALEM CITY"
S476595,"33rd Street Parking LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"701 Town Center Drive","Suite 800","Newport News",VA,23606,"37.087026606444,-76.47446438552",,"ALLEN C TANNER JR","701 TOWN CENTER DRIVE","SUITE 800","NEWPORT NEWS",VA,23606,2013-10-23,4,"NEWPORT NEWS CITY"
S476596,"ATM STORAGE, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"2725 FRANKLIN TPK STE C",,DANVILLE,VA,24540,"36.657860601898,-79.411863347939",,"ROBERT T VAUGHAN JR","772 MAIN STREET",,DANVILLE,VA,24541,2013-10-23,4,"DANVILLE CITY"
S476598,"Grams LLC",ACTIVE,2014-12-01,,2013-10-23,VIRGINIA,GENERAL,"1812 Bantry Druve",,Midlothian,VA,23114,"37.46543237575,-77.611472189544",,"JOHN CLIFFORD","909 N. COURTHOUSE ROAD",,RICHMOND,VA,23236,2013-10-23,4,"CHESTERFIELD COUNTY"
S476601,"Debwood, LLC",ACTIVE,2014-12-18,,2013-10-23,VIRGINIA,GENERAL,"1215 Wilmer Avenue",,Richmond,VA,23227,"37.604320813821,-77.457238140074",,"F. ADAM CHERRY, III","RANDOLPH, BOYD, CHERRY AND VAUGHAN","14 EAST MAIN STREET",RICHMOND,VA,23219,2013-10-23,4,"RICHMOND CITY"
S476612,"SRH Online Solutions, LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-23,VIRGINIA,GENERAL,"8115 Bayonet Way","Apt. 101",Manassas,VA,20109,"38.780498793853,-77.528060609426",,"STEPHEN R HIBBERT","8115 BAYONET WAY APT 101",,MANASSAS,VA,20109,2013-11-19,1,"PRINCE WILLIAM COUNTY"
S476613,"609 N 22nd St LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"611 N 26th St",,Richmond,VA,23223,"37.533996887577,-77.414843818489",,"MATTHEW P JARREAU","611 N 26TH ST",,RICHMOND,VA,23223,2013-10-23,1,"RICHMOND CITY"
S476621,"Boyer & Associates, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"2574 Treehouse Drive",,Woodbridge,VA,22192,"38.697921185451,-77.289083726753",,"KEVIN C BOYER","2574 TREEHOUSE DRIVE",,WOODBRIDGE,VA,22192,2013-10-23,1,"PRINCE WILLIAM COUNTY"
S476624,"Wellness Central, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"1504 Santa Rosa Rd.","Suite 200",Henrico,VA,23229,"37.602518779594,-77.548908854241",,"ELIZABETH PARCHOC","1504 SANTA ROSA RD.","SUITE 200",HENRICO,VA,23229,2013-10-23,1,"HENRICO COUNTY"
S476626,"35 North Design LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"8208 Chainmaile Road",,"North Chesterfield",VA,23235,"37.474319271285,-77.547162580998",,"ANNIE L. STEPHENS","1700 BAYBERRY COURT","SUITE 103",HENRICO,VA,23226,2013-10-23,4,"HENRICO COUNTY"
S476637,"J. L. BURNER, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"979 Jacob Burner Drive",,McGaheysville,VA,22840,"38.367425644446,-78.723665779716",,"DONALD E. SHOWALTER","100 SOUTH MASON STREET",,HARRISONBURG,VA,22801,2013-10-23,4,"ROCKINGHAM COUNTY"
S476639,"DANKI TRANSPORT LLC",ACTIVE,2015-01-20,,2013-10-23,VIRGINIA,GENERAL,"5021 SEMINARY RD APT 630",,ALEXANDRIA,VA,22311,"38.833832738951,-77.115034742571",,"DANIEL NIGUSSIE DUCHISO","5021 SEMINARY RD APT 630",,ALEXANDRIA,VA,22311,2013-10-23,1,"ALEXANDRIA CITY"
S476644,"TigerBird LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-23,VIRGINIA,GENERAL,"1801 Windsor Ave",,Roanoke,VA,24015,"37.261629160504,-79.974575720833",,"CHARLES DALE WILLEY","1801 WINDSOR AVE",,ROANOKE,VA,24015,2013-10-23,1,"ROANOKE CITY"
T054988,"HS Broadband LLC",ACTIVE,2013-10-23,,2013-10-23,DELAWARE,GENERAL,"2392 MORSE AVE",,IRVINE,CA,92614,"33.68043,-117.84939",,"NATIONAL REGISTERED AGENTS INC","4701 COX RD STE 285",,"GLEN ALLEN",VA,23060,2013-10-23,5,"HENRICO COUNTY"
T054991,"Odes UTVs LLC",ACTIVE,2013-10-23,,2013-10-23,CALIFORNIA,GENERAL,"1111 CITRUS ST UNIT 2",,RIVERSIDE,CA,92507,",",,"INCORP SERVICES INC","7288 HANOVER GREEN DR",,MECHANICSVILLE,VA,23111,2013-10-23,5,"HANOVER COUNTY"
S476652,"Nightingale Capital Investments, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"501 East Franklin Street","Suite 622",Richmond,VA,23219,"37.540952098724,-77.438949952059",,"JOHN W. MONTGOMERY, JR., ATTORNEY, PLC","2116 DABNEY RD STE A-1",,RICHMOND,VA,23230,2013-10-23,5,"HENRICO COUNTY"
S476659,"RMC Ventures, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"21010 SOUTHBANK STREET",4005,STERLING,VA,20165,"39.034586329104,-77.397545351546",,"INCORP SERVICES, INC.","7288 HANOVER GREEN DRIVE",,MECHANICSVILLE,VA,23111,2013-10-23,5,"HANOVER COUNTY"
S476668,"CyberGard Consulting, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"1632 NEW HAVEN PL",,"GLEN ALLEN",VA,23059,"37.683849288222,-77.596852467941",,"WILLIAM THOMAS GARDNER","1632 NEW HAVE PL",,"GLEN ALLEN",VA,23059,2014-03-21,1,"HENRICO COUNTY"
S476674,"Tecniyale, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"2713 Executive Drive",,Chester,VA,23831,"37.342418273835,-77.412111135455",,"WILLIAM ADOLFO PINILLA","2713 EXECUTIVE DRIVE",,CHESTER,VA,23831,2013-10-23,1,"CHESTERFIELD COUNTY"
T054994,"FRABA ENTERPRISES, LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-24,"NEW JERSEY",GENERAL,"14007 NOBLEWOOD DR",,WOODBRIDGE,VA,22193,"38.65168426287,-77.314582358002",,"REES BROOME PC","1900 GALLOWS RD STE 700",,"TYSONS CORNER",VA,22182,2014-12-04,6,"FAIRFAX COUNTY"
T054998,"BAMS 1 LLC",ACTIVE,2013-10-24,,2013-10-24,DELAWARE,GENERAL,"11714 WALTON PL",,NAPLES,FL,34110,"26.2796,-81.79765",,"C T CORPORATION SYSTEM","4701 COX RD STE 285",,"GLEN ALLEN",VA,23060-6802,2013-10-24,5,"HENRICO COUNTY"
S476694,"Minnieville Road Community, LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-24,VIRGINIA,GENERAL,"4899 Prince William Parkway",,Woodbridge,VA,22192,"38.678115691509,-77.355035368121",,"EMAD E SAADEH","4899 PRINCE WILLIAM PKWY",,WOODBRIDGE,VA,22192,2013-10-24,1,"PRINCE WILLIAM COUNTY"
S476697,"Virginia Couture Fashion Week LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-24,VIRGINIA,GENERAL,"108 Parks Place",,Franklin,VA,23851,"36.696418689081,-76.966360120868",,"UNITED STATES CORPORATION AGENTS, INC.","1900 CAMPUS COMMONS DRIVE STE 100",,RESTON,VA,20191,2014-04-28,5,"FAIRFAX COUNTY"
S476698,"JKOLA Fitness One, LLC",ACTIVE,2015-01-30,,2013-10-24,VIRGINIA,GENERAL,"510-2 NE 7th Avenue",,"Fort Lauderdale",FL,33301,"26.128271,-80.13638",,"UNITED STATES CORPORATION AGENTS, INC.","1900 CAMPUS COMMONS DRIVE STE 100",,RESTON,VA,20191,2014-04-28,5,"FAIRFAX COUNTY"
S476699,"Creek Investment Properties LLC",ACTIVE,2013-10-24,,2013-10-24,VIRGINIA,GENERAL,"1280 Greenfield St.",,Daleville,VA,24083,",",,"UNITED STATES CORPORATION AGENTS, INC.","1900 CAMPUS COMMONS DRIVE STE 100",,RESTON,VA,20191,2014-04-28,5,"FAIRFAX COUNTY"
S476703,"Love To Lash, LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-24,VIRGINIA,GENERAL,"13858 Estate Manor Dr.",,Gainesville,VA,20155,"38.764775453093,-77.603599304452",,"LINDA LAFONTAINE","13858 ESTATE MANOR DR.",,GAINESVILLE,VA,20155,2013-10-24,1,"PRINCE WILLIAM COUNTY"
S476715,"McShay at Pohick River, LLC",ACTIVE,2013-10-24,,2013-10-24,VIRGINIA,GENERAL,"6212 B Old Franconia Road",,Alexandria,VA,22310,",",,"SILVER & BROWN, A PROFESSIONAL CORPORATION","10621 JONES ST","STE 101",FAIRFAX,VA,22030-1108,2013-10-24,5,"FAIRFAX CITY (FILED IN FAIRFAX COUNTY)"
S476719,"globalacademygroup, LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-24,VIRGINIA,GENERAL,"6629 Weatheford Ct.",,McLean,VA,22101,"38.951980504857,-77.171350076861",,"ZHIQUAN BO","1593 SPRING HILL ROAD",,VIENNA,VA,22182,2013-10-24,1,"FAIRFAX COUNTY"
S476727,"SG WAREHOUSE LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-24,VIRGINIA,GENERAL,"10531 CROATIA WAY",,MANASSAS,VA,22109,"38.778533307674,-77.510391112842",,"YETENAYET EJIGU WODAJO","10531 CROATIA WAY",,MANASSAS,VA,22109,2013-11-06,1,"PRINCE WILLIAM COUNTY"
S476740,"Hileman Consulting, LLC",ACTIVE,2013-10-24,,2013-10-24,VIRGINIA,GENERAL,"704 Stone Cove",,"Newport News",VA,23602,"37.108888661418,-76.468094219387",,"FRANCIS LLOYD HILEMAN JR.","704 STONE COVE",,"NEWPORT NEWS",VA,23602,2013-10-24,1,"NEWPORT NEWS CITY"
S476763,"New Roots Historic Restoration LLC",ACTIVE,2013-10-24,,2013-10-24,VIRGINIA,GENERAL,"4806 Power Dam Rd",,Elkton,VA,22827,"38.354356380354,-78.700618227844",,"ALEX E REUT","4806 POWER DAM RD",,ELKTON,VA,22827,2013-10-24,1,"ROCKINGHAM COUNTY"
S476770,"Leading Edge Holdings, LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-24,VIRGINIA,GENERAL,"295 BENDIX RD STE 260",,"VIRGINIA BEACH",VA,23452,"36.833619322192,-76.125573223925",,"THE KEEL GROUP LTD","295 BENDIX RD STE 260",,"VIRGINIA BEACH",VA,23452,2013-10-24,5,"VIRGINIA BEACH CITY"
S476786,"D. G. Reynolds Associates, LLC",ACTIVE,2013-10-24,,2013-10-24,VIRGINIA,GENERAL,"9309 CENTREVILLE RD #B",,MANASSAS,VA,20110,"38.752783618806,-77.468330628535",,"PAK REYNOLDS","9309 CENTREVILLE RD #B",,MANASSAS,VA,20110,2013-10-24,1,"MANASSAS CITY (FILED-PRINCE WILLIAM COUNTY)"
S476789,"Mitic LLC",ACTIVE,2013-10-24,,2013-10-24,VIRGINIA,GENERAL,"200 S Veitch Street","Apt 8",Arlington,VA,22204,"38.871612576174,-77.082636684437",,"DUSAN MITIC","200 S VEITCH STREET","APT 8",ARLINGTON,VA,22204,2013-10-24,1,"ARLINGTON COUNTY"
S476792,"Club Synergicity LLC","CANC(VOLUNTARY) (LLC/LP/BT)",2013-12-17,,2013-10-24,VIRGINIA,GENERAL,"129 W. Virginia Beach Blvd.",,Norfolk,VA,23510,"36.857356841844,-76.289519876718",,"JOEL ANKNEY","VIRGINIA ENTREPRENEUR LAW OFFICE PC","4669 SOUTH BLVD., STE. 107","VIRGINIA BEACH",VA,23452,2013-10-24,4,"VIRGINIA BEACH CITY"
S476807,"Irvingiaceae LLC",ACTIVE,2013-10-24,,2013-10-24,VIRGINIA,GENERAL,"6072 Crown Royal Cir.",,Alexandria,VA,22310,"38.787159071155,-77.13801460115",,"JESSICA FAWSON","6072 CROWN ROYAL CIR.",,ALEXANDRIA,VA,22310,2013-10-24,1,"ALEXANDRIA CITY"
S476809,"Main Street Solutions LLC",ACTIVE,2014-11-26,,2013-10-24,VIRGINIA,GENERAL,"1111 Army Navy Dr.","Apt 125",Arlington,VA,22202,"38.864868340636,-77.063835198848",,"GREGORY J HOLCOMB","1111 ARMY NAVY DR.","APT 125",ARLINGTON,VA,22202,2013-10-24,1,"ARLINGTON COUNTY"
S476815,"Chariot LLC",ACTIVE,2013-10-24,,2013-10-24,VIRGINIA,GENERAL,"3312 Nevius Street",,Fallschurch,VA,22041,"38.856751422984,-77.1448857513",,"ALI HASAN CHEEMA","3312 NEVIUS STREET",,FALLSCHURCH,VA,22041,2013-10-24,1,"FAIRFAX COUNTY"
